"Company","Industry","Asset Type","Fair Value ($ in Millions)"
"Catalis Intermediate, Inc. (fka GovBrands Intermediate, Inc.)","Internet software and services","1st Lien","9.9"
"Catalis Intermediate, Inc. (fka GovBrands Intermediate, Inc.)","Internet software and services","1st Lien","2.2"
"Catalis Intermediate, Inc. (fka GovBrands Intermediate, Inc.)","Internet software and services","1st Lien","0.7"
"CD&R Value Building Partners I, L.P. (dba Belron)","Automotive","Common Equity","35.2"
"Centrify Corporation","Internet software and services","1st Lien","65.4"
"Centrify Corporation","Internet software and services","1st Lien","-0.1"
"CIBT Global, Inc.","Business services","1st Lien","0.6"
"CIBT Global, Inc.","Business services","2nd Lien","6.0"
"Circana Group, L.P. (fka The NPD Group, L.P.)","Advertising and media","1st Lien","23.6"
"Circana Group, L.P. (fka The NPD Group, L.P.)","Advertising and media","1st Lien","0.1"
"CivicPlus, LLC","Internet software and services","1st Lien","35.1"
"CivicPlus, LLC","Internet software and services","1st Lien","0.5"
"Conair Holdings LLC","Consumer products","2nd Lien","176.3"
"Confluent Medical Technologies, Inc.","Healthcare equipment and services","2nd Lien","1.0"
"Cornerstone OnDemand, Inc.","Human resource support services","2nd Lien","108.9"
"Coupa Holdings, LLC","Internet software and services","1st Lien","0.8"
"Coupa Holdings, LLC","Internet software and services","1st Lien","0.0"
"Coupa Holdings, LLC","Internet software and services","1st Lien","0.0"
"Covetrus Inc.","Healthcare providers and services","2nd Lien","4.8"
"CP PIK DEBT ISSUER, LLC (dba CivicPlus, LLC)","Internet software and services","Unsecured","19.5"
"CSC MKG Topco LLC (dba Medical Knowledge Group)","Healthcare equipment and services","1st Lien","1.2"
"Delta TopCo, Inc. (dba Infoblox, Inc.)","Internet software and services","2nd Lien","14.6"
"Denali BuyerCo, LLC (dba Summit Companies)","Business services","1st Lien","52.8"
"Denali BuyerCo, LLC (dba Summit Companies)","Business services","1st Lien","0.0"
"Denali Holding, LP (dba Summit Companies)","Business services","Common Equity","4.7"
"Diagnostic Services Holdings, Inc. (dba Rayus Radiology)","Healthcare providers and services","1st Lien","1.0"
"Diamondback Acquisition, Inc. (dba Sphera)","Business services","1st Lien","4.0"
"Diamondback Acquisition, Inc. (dba Sphera)","Business services","1st Lien","0.0"
"Dodge Construction Network Holdings, L.P.","Buildings and real estate","Common Equity","1.5"
"Dodge Construction Network Holdings, L.P.","Buildings and real estate","Preferred Equity","0.0"
"Douglas Products and Packaging Company LLC","Chemicals","1st Lien","18.5"
"Douglas Products and Packaging Company LLC","Chemicals","1st Lien","0.2"
"Eagle Infrastructure Services, LLC","Infrastructure and environmental services","1st Lien","85.8"
"Eagle Infrastructure Super Holdco LLC","Infrastructure and environmental services","Common Equity","24.1"
"EET Buyer, Inc. (dba e-Emphasys)","Internet software and services","1st Lien","4.5"
"Elliott Alto Co-Investor Aggregator L.P.","Internet software and services","Common Equity","3.0"
"Endries Acquisition, Inc.","Distribution","1st Lien","236.4"
"Engage Debtco Limited","Healthcare providers and services","1st Lien","1.0"
"Entertainment Benefits Group, LLC","Business services","1st Lien","0.9"
"Entertainment Benefits Group, LLC","Business services","1st Lien","0.0"
"Evology, LLC","Household products","Common Equity","3.0"
"Evolution BuyerCo, Inc. (dba SIAA)","Insurance","1st Lien","139.6"
"Evolution BuyerCo, Inc. (dba SIAA)","Insurance","1st Lien","-0.1"
"Evolution Parent, LP (dba SIAA)","Insurance","Common Equity","4.8"
"Ex Vivo Parent Inc. (dba OB Hospitalist)","Healthcare providers and services","1st Lien","60.5"
"Feradyne Outdoors, LLC","Consumer products","1st Lien","69.8"
"Fifth Season Investments LLC","Insurance","Common Equity","111.2"
"Forescout Technologies, Inc.","Internet software and services","1st Lien","109.2"
"Fortis Solutions Group, LLC","Containers and packaging","1st Lien","4.5"
"Fortis Solutions Group, LLC","Containers and packaging","1st Lien","0.1"
"Foundation Consumer Brands, LLC","Consumer products","1st Lien","3.3"
"Fullsteam Operations, LLC","Business services","1st Lien","10.6"
"Gainsight, Inc.","Business services","1st Lien","22.2"
"Gainsight, Inc.","Business services","1st Lien","2.4"
"Galls, LLC","Specialty Retail","1st Lien","111.4"
"Galls, LLC","Specialty Retail","1st Lien","14.4"
"Gaylord Chemical Company, L.L.C.","Chemicals","1st Lien","137.1"
"Genesis Acquisition Co. (dba Procare Software)","Internet software and services","1st Lien","17.8"
"Genesis Acquisition Co. (dba Procare Software)","Internet software and services","1st Lien","2.6"
"Gerson Lehrman Group, Inc.","Professional services","1st Lien","121.0"
"Gerson Lehrman Group, Inc.","Professional services","1st Lien","10.8"
"GI Apple Midco LLC (dba Atlas Technical Consultants)","Infrastructure and environmental services","1st Lien","0.7"
"GI Apple Midco LLC (dba Atlas Technical Consultants)","Infrastructure and environmental services","1st Lien","0.0"
"GI Apple Midco LLC (dba Atlas Technical Consultants)","Infrastructure and environmental services","1st Lien","0.0"
"GI Ranger Intermediate, LLC (dba Rectangle Health)","Healthcare technology","1st Lien","4.5"
"GI Ranger Intermediate, LLC (dba Rectangle Health)","Healthcare technology","1st Lien","0.1"
"Global Music Rights, LLC","Advertising and media","1st Lien","7.4"
"Gloves Buyer, Inc. (dba Protective Industrial Products)","Manufacturing","2nd Lien","28.8"
"Gloves Holdings, LP (dba Protective Industrial Products)","Manufacturing","Common Equity","3.9"
"GoHealth, Inc.","Insurance","Common Equity","1.3"
"Granicus, Inc.","Internet software and services","1st Lien","15.6"
"Granicus, Inc.","Internet software and services","1st Lien","0.3"
"GrowthCurve Capital Sunrise Co-Invest LP (dba Brightway)","Insurance","Common Equity","0.6"
"Guidehouse Inc.","Professional services","1st Lien","4.6"
"H&F Opportunities LUX III S.À R.L (dba Checkmarx)","Internet software and services","1st Lien","51.6"
"Helix Acquisition Holdings, Inc. (dba MW Industries)","Manufacturing","1st Lien","1.0"
"Hercules Borrower, LLC (dba The Vincit Group)","Business services","1st Lien","176.0"
"Hercules Borrower, LLC (dba The Vincit Group)","Business services","1st Lien","2.2"
"Hercules Buyer, LLC (dba The Vincit Group)","Business services","Unsecured","5.8"
"Hercules Buyer, LLC (dba The Vincit Group)","Business services","Common Equity","2.5"
"H-Food Holdings, LLC","Food and beverage","2nd Lien","95.6"
"H-Food Holdings, LLC","Food and beverage","Common Equity","8.0"
"Hg Genesis 8 Sumoco Limited","Asset Based Lending and Fund Finance","Unsecured","50.0"
"Hg Genesis 9 SumoCo Limited","Asset Based Lending and Fund Finance","Unsecured","50.3"
"Hg Saturn Luchaco Limited","Asset Based Lending and Fund Finance","Unsecured","132.4"
"HGH Purchaser, Inc. (dba Horizon Services)","Household products","1st Lien","187.7"
"HGH Purchaser, Inc. (dba Horizon Services)","Household products","1st Lien","16.3"
"Hissho Sushi Holdings, LLC","Food and beverage","Common Equity","0.1"
"Hissho Sushi Merger Sub LLC","Food and beverage","1st Lien","0.9"
"Hissho Sushi Merger Sub LLC","Food and beverage","1st Lien","0.0"
"Hometown Food Company","Food and beverage","1st Lien","12.1"
"Hyland Software, Inc.","Internet software and services","2nd Lien","14.8"
"Ideal Image Development, LLC","Specialty Retail","1st Lien","10.6"
"Ideal Image Development, LLC","Specialty Retail","1st Lien","1.7"
"Ideal Tridon Holdings, Inc.","Manufacturing","1st Lien","26.5"
"Ideal Tridon Holdings, Inc.","Manufacturing","1st Lien","0.7"
"IG Investments Holdings, LLC (dba Insight Global)","Human resource support services","1st Lien","49.8"
"IG Investments Holdings, LLC (dba Insight Global)","Human resource support services","1st Lien","0.0"
"Imprivata, Inc.","Healthcare technology","2nd Lien","0.9"
"Indigo Buyer, Inc. (dba Inovar Packaging Group)","Containers and packaging","1st Lien","0.9"
"Indigo Buyer, Inc. (dba Inovar Packaging Group)","Containers and packaging","1st Lien","0.0"
"Innovation Ventures HoldCo, LLC (dba 5 Hour Energy)","Food and beverage","1st Lien","122.8"
"Insight CP (Blocker) Holdings, L.P. (dba CivicPlus, LLC)","Internet software and services","Common Equity","1.2"
"Integrity Marketing Acquisition, LLC","Insurance","1st Lien","215.5"
"Intelerad Medical Systems Incorporated (fka 11849573 Canada Inc.)","Healthcare technology","1st Lien","115.7"
"Intelerad Medical Systems Incorporated (fka 11849573 Canada Inc.)","Healthcare technology","1st Lien","3.5"
"Interoperability Bidco, Inc. (dba Lyniate)","Healthcare technology","1st Lien","65.5"
"Interoperability Bidco, Inc. (dba Lyniate)","Healthcare technology","1st Lien","1.5"
"Kaseya Inc.","Business services","1st Lien","18.7"
"Kaseya Inc.","Business services","1st Lien","0.1"
"Kaseya Inc.","Business services","1st Lien","0.3"
"Knockout Intermediate Holdings I Inc. (dba Kaseya Inc.)","Business services","Preferred Equity","15.7"
"KOBHG Holdings, L.P. (dba OB Hospitalist)","Healthcare providers and services","Common Equity","6.2"
"KPCI Holdings, L.P.","Healthcare equipment and services","Common Equity","35.1"
"KPSKY Acquisition, Inc. (dba BluSky)","Business services","1st Lien","4.8"
"KUSRP Intermediate, Inc. (dba U.S. Retirement and Benefits Partners)","Insurance","1st Lien","33.0"
"Learning Care Group (US) No. 2 Inc.","Education","2nd Lien","26.6"
"Lightbeam Bidco, Inc. (dba Lazer Spot)","Transportation","1st Lien","3.9"
"Lightbeam Bidco, Inc. (dba Lazer Spot)","Transportation","1st Lien","0.0"
"Lignetics Investment Corp.","Consumer products","1st Lien","34.4"
"Lignetics Investment Corp.","Consumer products","1st Lien","4.5"
"LineStar Integrity Services LLC","Infrastructure and environmental services","1st Lien","49.8"
"Litera Bidco LLC","Internet software and services","1st Lien","147.8"
"Litera Bidco LLC","Internet software and services","1st Lien","0.0"
"LSI Financing 1 DAC","Pharmaceuticals","Preferred Equity","19.6"
"Lytx, Inc.","Transportation","1st Lien","70.7"
"Maia Aggregator, LP","Healthcare equipment and services","Common Equity","0.2"
"Mario Midco Holdings, Inc. (dba Len the Plumber)","Household products","Unsecured","4.4"
"Mario Purchaser, LLC (dba Len the Plumber)","Household products","1st Lien","12.9"
"Mario Purchaser, LLC (dba Len the Plumber)","Household products","1st Lien","3.1"
"Mario Purchaser, LLC (dba Len the Plumber)","Household products","1st Lien","0.0"
"Medline Borrower, LP","Healthcare equipment and services","1st Lien","-0.2"
"MessageBird BidCo B.V.","Internet software and services","1st Lien","44.5"
"MessageBird Holding B.V.","Internet software and services","Common Equity","0.1"
"Metis HoldCo, Inc. (dba Mavis Tire Express Services)","Automotive","Preferred Equity","173.9"
"MHE Intermediate Holdings, LLC (dba OnPoint Group)","Manufacturing","1st Lien","180.0"
"MHE Intermediate Holdings, LLC (dba OnPoint Group)","Manufacturing","1st Lien","4.0"
"Milan Laser Holdings LLC","Specialty Retail","1st Lien","23.9"
"MINDBODY, Inc.","Internet software and services","1st Lien","67.3"
"MINDBODY, Inc.","Internet software and services","1st Lien","0.0"
"Minerva Holdco, Inc.","Healthcare technology","Preferred Equity","7.3"
"Ministry Brands Holdings, LLC","Internet software and services","1st Lien","0.7"
"Ministry Brands Holdings, LLC","Internet software and services","1st Lien","0.0"
"Ministry Brands Holdings, LLC","Internet software and services","1st Lien","0.0"
"Motus Group, LLC","Transportation","2nd Lien","10.6"
"Muine Gall, LLC","Financial services","1st Lien","131.3"
"National Dentex Labs LLC (fka Barracuda Dental LLC)","Healthcare providers and services","1st Lien","104.4"
"National Dentex Labs LLC (fka Barracuda Dental LLC)","Healthcare providers and services","1st Lien","7.3"
"Natural Partners, LLC","Healthcare providers and services","1st Lien","0.9"
"Natural Partners, LLC","Healthcare providers and services","1st Lien","0.0"
"Nelipak Holding Company","Healthcare equipment and services","1st Lien","2.3"
"Nelipak Holding Company","Healthcare equipment and services","2nd Lien","67.0"
"Nelipak Holding Company","Healthcare equipment and services","1st Lien","1.2"
"Nelipak Holding Company","Healthcare equipment and services","1st Lien","1.8"
"Nelipak Holding Company","Healthcare equipment and services","2nd Lien","65.2"
"Nellson Nutraceutical, LLC","Food and beverage","1st Lien","25.7"
"New PLI Holdings, LLC (dba PLI)","Advertising and media","Common Equity","97.7"
"NMI Acquisitionco, Inc. (dba Network Merchants)","Financial services","1st Lien","24.7"
"NMI Acquisitionco, Inc. (dba Network Merchants)","Financial services","1st Lien","5.8"
"NMI Acquisitionco, Inc. (dba Network Merchants)","Financial services","1st Lien","0.0"
"Norvax, LLC (dba GoHealth)","Insurance","1st Lien","73.4"
"Norvax, LLC (dba GoHealth)","Insurance","1st Lien","-0.2"
"Notorious Topco, LLC (dba Beauty Industry Group)","Specialty Retail","1st Lien","106.9"
"Notorious Topco, LLC (dba Beauty Industry Group)","Specialty Retail","1st Lien","9.3"
"Notorious Topco, LLC (dba Beauty Industry Group)","Specialty Retail","1st Lien","0.5"
"OB Hospitalist Group, Inc.","Healthcare providers and services","1st Lien","92.7"
"OB Hospitalist Group, Inc.","Healthcare providers and services","1st Lien","6.4"
"Ocala Bidco, Inc.","Healthcare technology","1st Lien","182.0"
"Ocala Bidco, Inc.","Healthcare technology","1st Lien","-0.1"
"Ocala Bidco, Inc.","Healthcare technology","2nd Lien","102.2"
"Offen, Inc.","Distribution","1st Lien","18.7"
"Ole Smoky Distillery, LLC","Food and beverage","1st Lien","0.9"
"Ole Smoky Distillery, LLC","Food and beverage","1st Lien","0.0"
"Pacific BidCo Inc.","Healthcare providers and services","1st Lien","30.5"
"Pacific BidCo Inc.","Healthcare providers and services","1st Lien","0.0"
"Packaging Coordinators Midco, Inc.","Healthcare equipment and services","2nd Lien","189.2"
"Patriot Acquisition TopCo S.A.R.L (dba Corza Health, Inc.)","Healthcare equipment and services","1st Lien","133.0"
"Patriot Acquisition TopCo S.A.R.L (dba Corza Health, Inc.)","Healthcare equipment and services","1st Lien","-0.2"
"Patriot Holdings SCSp (dba Corza Health, Inc.)","Healthcare equipment and services","Common Equity","1.6"
"Patriot Holdings SCSp (dba Corza Health, Inc.)","Healthcare equipment and services","Common Equity","9.2"
"PCF Holdco, LLC (dba PCF Insurance Services)","Insurance","Preferred Equity","6.9"
"PCF Holdco, LLC (dba PCF Insurance Services)","Insurance","Common Equity","67.5"
"PCF Holdco, LLC (dba PCF Insurance Services)","Insurance","Common Equity","4.4"
"PCF Midco II, LLC (dba PCF Insurance Services)","Insurance","1st Lien","126.5"
"Peraton Corp.","Aerospace and defense","2nd Lien","44.6"
"PerkinElmer U.S. LLC","Healthcare equipment and services","1st Lien","0.9"
"Peter C. Foy & Associates Insurance Services, LLC (dba PCF Insurance Services)","Insurance","1st Lien","134.2"
"PHM Netherlands Midco B.V. (dba Loparex)","Manufacturing","1st Lien","0.7"
"PHM Netherlands Midco B.V. (dba Loparex)","Manufacturing","2nd Lien","108.6"
"Phoenix Newco, Inc. (dba Parexel)","Healthcare providers and services","2nd Lien","188.6"
"Picard Holdco, LLC","Internet software and services","Preferred Equity","25.2"
"Ping Identity Holding Corp.","Business services","1st Lien","0.9"
"Ping Identity Holding Corp.","Business services","1st Lien","0.0"
"Plasma Buyer LLC (dba PathGroup)","Healthcare providers and services","1st Lien","0.7"
"Plasma Buyer LLC (dba PathGroup)","Healthcare providers and services","1st Lien","0.0"
"Plasma Buyer LLC (dba PathGroup)","Healthcare providers and services","1st Lien","0.0"
"Pluralsight, LLC","Education","1st Lien","98.0"
"Pluralsight, LLC","Education","1st Lien","3.0"
"PPV Intermediate Holdings, LLC","Healthcare providers and services","1st Lien","0.9"
"PPV Intermediate Holdings, LLC","Healthcare providers and services","1st Lien","0.0"
"Pregis Topco LLC","Containers and packaging","2nd Lien","159.3"
"Premier Imaging, LLC (dba LucidHealth)","Healthcare providers and services","1st Lien","42.4"
"Project Alpine Co-Invest Fund, LP","Internet software and services","Common Equity","11.0"
"Project Hotel California Co-Invest Fund, L.P.","Internet software and services","Common Equity","2.7"
"Project Power Buyer, LLC (dba PEC-Veriforce)","Oil and gas","1st Lien","44.0"
"Project Power Buyer, LLC (dba PEC-Veriforce)","Oil and gas","1st Lien","0.0"
"Proofpoint, Inc.","Internet software and services","2nd Lien","19.0"
"PS Op Holdings LLC (fka QC Supply, LLC)","Distribution","Common Equity","3.7"
"PS Operating Company LLC (fka QC Supply, LLC)","Distribution","1st Lien","12.7"
"PS Operating Company LLC (fka QC Supply, LLC)","Distribution","1st Lien","3.4"
"QAD, Inc.","Internet software and services","1st Lien","25.7"
"QAD, Inc.","Internet software and services","1st Lien","-0.1"
"Quva Pharma, Inc.","Healthcare providers and services","1st Lien","38.7"
"Quva Pharma, Inc.","Healthcare providers and services","1st Lien","1.8"
"REALPAGE, INC.","Buildings and real estate","2nd Lien","33.3"
"Recipe Acquisition Corp. (dba Roland Corporation)","Food and beverage","2nd Lien","31.8"
"Relativity ODA LLC","Professional services","1st Lien","85.8"
"Rhea Acquisition Holdings, LP","Healthcare equipment and services","Common Equity","0.2"
"Rhea Parent, Inc.","Healthcare equipment and services","1st Lien","0.8"
"Safety Products/JHC Acquisition Corp. (dba Justrite Safety Group)","Manufacturing","1st Lien","12.9"
"SailPoint Technologies Holdings, Inc.","Internet software and services","1st Lien","45.1"
"SailPoint Technologies Holdings, Inc.","Internet software and services","1st Lien","-0.1"
"Sara Lee Frozen Bakery, LLC (fka KSLB Holdings, LLC)","Food and beverage","1st Lien","40.9"
"Sara Lee Frozen Bakery, LLC (fka KSLB Holdings, LLC)","Food and beverage","1st Lien","5.8"
"Securonix, Inc.","Internet software and services","1st Lien","0.8"
"Securonix, Inc.","Internet software and services","1st Lien","0.0"
"Sensor Technology Topco, Inc. (dba Humanetics)","Professional services","1st Lien","63.2"
"Sensor Technology Topco, Inc. (dba Humanetics)","Professional services","1st Lien","12.4"
"Sensor Technology Topco, Inc. (dba Humanetics)","Professional services","1st Lien","1.1"
"Shearer's Foods, LLC","Food and beverage","2nd Lien","86.4"
"SimpliSafe Holding Corporation","Household products","1st Lien","6.1"
"Smarsh Inc.","Financial services","1st Lien","0.8"
"Smarsh Inc.","Financial services","1st Lien","0.1"
"Sonny's Enterprises, LLC","Manufacturing","1st Lien","225.3"
"Sonny's Enterprises, LLC","Manufacturing","1st Lien","0.0"
"Sonny's Enterprises, LLC","Manufacturing","1st Lien","-0.3"
"Space Exploration Technologies Corp.","Aerospace and defense","Common Equity","3.6"
"Space Exploration Technologies Corp.","Aerospace and defense","Common Equity","0.7"
"Spotless Brands, LLC","Automotive","1st Lien","47.8"
"Spotless Brands, LLC","Automotive","1st Lien","0.0"
"Summit Acquisition Inc. (dba K2 Insurance Services)","Insurance","1st Lien","0.7"
"Summit Acquisition Inc. (dba K2 Insurance Services)","Insurance","1st Lien","0.0"
"Summit Acquisition Inc. (dba K2 Insurance Services)","Insurance","1st Lien","0.0"
"Sunshine Software Holdings, Inc. (dba Cornerstone OnDemand)","Human resource support services","Preferred Equity","40.4"
"Swipe Acquisition Corporation (dba PLI)","Advertising and media","1st Lien","48.7"
"Swipe Acquisition Corporation (dba PLI)","Advertising and media","1st Lien","14.5"
"SWK BUYER, Inc. (dba Stonewall Kitchen)","Consumer products","1st Lien","0.7"
"SWK BUYER, Inc. (dba Stonewall Kitchen)","Consumer products","1st Lien","0.1"
"Tahoe Finco, LLC","Internet software and services","1st Lien","122.0"
"Tahoe Finco, LLC","Internet software and services","1st Lien","-0.1"
"Tall Tree Foods, Inc.","Food and beverage","1st Lien","54.9"
"Tall Tree Foods, Inc.","Food and beverage","1st Lien","4.0"
"Tamarack Intermediate, L.L.C. (dba Verisk 3E)","Infrastructure and environmental services","1st Lien","0.8"
"Tamarack Intermediate, L.L.C. (dba Verisk 3E)","Infrastructure and environmental services","1st Lien","0.0"
"Tempo Buyer Corp. (dba Global Claims Services)","Insurance","1st Lien","1.1"
"Tempo Buyer Corp. (dba Global Claims Services)","Insurance","1st Lien","0.0"
"Tempo Buyer Corp. (dba Global Claims Services)","Insurance","1st Lien","0.1"
"The Better Being Co., LLC (fka Nutraceutical International Corporation)","Food and beverage","1st Lien","160.6"
"The Better Being Co., LLC (fka Nutraceutical International Corporation)","Food and beverage","1st Lien","11.8"
"The Shade Store, LLC","Specialty Retail","1st Lien","8.6"
"The Shade Store, LLC","Specialty Retail","1st Lien","0.4"
"THG Acquisition, LLC (dba Hilb)","Insurance","1st Lien","73.6"
"THG Acquisition, LLC (dba Hilb)","Insurance","1st Lien","1.8"
"Thunder Purchaser, Inc. (dba Vector Solutions)","Internet software and services","1st Lien","63.3"
"Thunder Purchaser, Inc. (dba Vector Solutions)","Internet software and services","1st Lien","3.9"
"Thunder Purchaser, Inc. (dba Vector Solutions)","Internet software and services","1st Lien","3.2"
"Thunder Topco L.P. (dba Vector Solutions)","Internet software and services","Common Equity","3.9"
"Tivity Health, Inc.","Healthcare providers and services","1st Lien","1.0"
"Troon Golf, L.L.C.","Leisure and entertainment","1st Lien","237.7"
"Troon Golf, L.L.C.","Leisure and entertainment","1st Lien","-0.1"
"Ultimate Baked Goods Midco, LLC","Food and beverage","1st Lien","79.8"
"Ultimate Baked Goods Midco, LLC","Food and beverage","1st Lien","-0.1"
"Unified Women's Healthcare, LP","Healthcare providers and services","1st Lien","0.9"
"USRP Holdings, Inc. (dba U.S. Retirement and Benefits Partners)","Insurance","1st Lien","38.1"
"USRP Holdings, Inc. (dba U.S. Retirement and Benefits Partners)","Insurance","1st Lien","0.0"
"Valence Surface Technologies LLC","Aerospace and defense","1st Lien","105.7"
"Valence Surface Technologies LLC","Aerospace and defense","1st Lien","8.6"
"Velocity HoldCo III Inc. (dba VelocityEHS)","Chemicals","1st Lien","21.9"
"Velocity HoldCo III Inc. (dba VelocityEHS)","Chemicals","1st Lien","0.9"
"VEPF Torreys Aggregator, LLC (dba MINDBODY, Inc.)","Internet software and services","Preferred Equity","23.0"
"Vermont Aus Pty Ltd","Healthcare providers and services","1st Lien","1.0"
"Walker Edison Furniture Company LLC","Household products","1st Lien","21.7"
"Walker Edison Furniture Company LLC","Household products","1st Lien","0.6"
"Walker Edison Furniture Company LLC","Household products","1st Lien","11.2"
"Walker Edison Holdco LLC","Household products","Common Equity","21.5"
"When I Work, Inc.","Internet software and services","1st Lien","5.3"
"When I Work, Inc.","Internet software and services","1st Lien","0.0"
"Windows Entities","Manufacturing","Common Equity","131.6"
"Wingspire Capital Holdings LLC","Asset Based Lending and Fund Finance","Common Equity","476.5"
"WMC Bidco, Inc. (dba West Monroe)","Internet software and services","Preferred Equity","18.9"
"WP Irving Co-Invest, L.P.","Healthcare technology","Preferred Equity","1.3"
"WU Holdco, Inc. (dba Weiman Products, LLC)","Consumer products","1st Lien","195.3"
"WU Holdco, Inc. (dba Weiman Products, LLC)","Consumer products","1st Lien","10.5"
"Zendesk, Inc.","Internet software and services","1st Lien","68.8"
"Zendesk, Inc.","Internet software and services","1st Lien","-0.1"
"Zendesk, Inc.","Internet software and services","1st Lien","-0.1"
"Zoro TopCo, Inc.","Internet software and services","Preferred Equity","10.1"
"Zoro TopCo, Inc.","Internet software and services","Common Equity","8.0"